奸	gaan1
峢	lit6
鹼	gaan2
璒	dang1
楾	cyun4
𡁵	gan2
箒	zau2
䜸	mui5
搊	cau1
良	loeng4
瑕	haa4
䦦	kam4
柇	wo4
欎	wat1
淯	juk6
㱭	dyun6
碃	cing3
䩗	baa3
搔	sou1
敷	fu1
湕	gin2
䟆	bat1
𢐧	king4
狻	syun1
䩛	bat6
礲	lung4
瑂	mei4
爧	ling4
磜	zai3
仢	bok6
櫛	zit3
褵	lei4
錰	seot6
邱	jau1
㯾	zou1
𡐿	daat6
𣲛	sing4
接	zip3
䢪	hiu1
𢝊	jau1
廣	gwong2
鏭	sik1
赾	jan2
詥	hap6
脉	mak6
乢	goi3
㼐	pin4
鴟	ci1
讌	jin3
𨯚	wai6
筍	seon2
礻	si6
㵌	ceon4
慈	ci4
檀	taan4
籖	cim1
挼	no4
畆	mau5
衦	gon2
𨰜	zoek3
㩬	hei1
秮	wut6
本	bun2
軈	jing3
䥌	zing3
廧	coeng4
綒	fu1
豢	waan6
猔	zung3
啗	daam6
磴	dang3
蔱	saat3
璳	tin4
濧	deoi6
邌	lai4
乫	gaa1
伙	fo2
繜	zeon1
馫	hing1
恦	hoeng2
㓟	pai1
潔	git3
桯	ting1
䶴	ceoi1
㭅	saam1
㨊	wai5
塒	si4
㴡	hoeng1
珁	ci4
䏌	hat1
㥻	cik1
犾	ngan4
猫	maau1
駪	san1
㱦	kei1
蒿	hou1
暟	hoi2
膍	pei4
𤂌	kit3
𤇢	baak6
欚	lai5
𨔼	jau4
䖸	ngo4
峸	sing4
嗥	hou4
𦸒	ji1
項	hong6
㓣	hap1
祻	gu3
㰸	lim5
㜹	keoi4
𠡳	min5
醟	wing6
壥	cin4
荗	seot6
檋	guk6
㿑	joek6
掶	zit6
酌	zoek3
㤷	ham1
濦	jan2
獒	ngou4
䱶	long4
乕	fu2
苵	dit6
䝕	zip3
唖	aa2
螉	jung1
輽	ban6
畐	fuk1
𠱷	ming4
齂	hei3
湱	waak6
僘	cong2
孻	laai1
䒰	hong1
兣	lei4
鱻	sin1
籿	cyun3
詢	seon1
䨊	jyun1
訵	ci1
躭	daam1
軣	gwang1
菸	jin1
䆟	hap1
嵗	seoi3
𤫑	haa4
妱	ziu1
𦱀	juk6
躔	cin4
㥧	seon6
蓮	lin4
顴	kyun4
陏	do6
矉	pan4
髻	gai3
㹹	gang1
䉁	ling4
𡠭	syut3
蜜	mat6
𦴨	kwan3
臁	lim4
慳	haan1
羉	lyun4
彸	zung1
漨	fung4
㙈	haa3
㑄	mou5
埸	jik6
擯	ban3
両	loeng2
鍸	wu4
欅	geoi2
𢦔	zoi1
鉞	jyut6
𢴇	zap1
㸄	zai6
佊	bei2
灸	gau3
䀺	cau1
孕	jan6
䃙	luk6
䱍	gang2
𠽤	kik1
龔	gung1
弑	si3
歎	taan3
䠡	co4
𠏋	jyu4
乥	fu4
娃	waa1
𠙖	pang4
㵑	ho6
抺	mui6
鯵	sam1
陎	syu4
㼠	to4
螟	ming4
㹗	tou1
𨊰	ngat6
忶	wan4
嵏	zung1
廽	wui4
蒻	joek6
鷺	lou6
郔	jin4
㴼	suk1
濐	zyu2
濸	cong1
𤃉	lik6
㫳	san4
縜	wan4
㐕	jau4
瞣	waan6
𦳃	ce4
㐇	gau2
𠼦	maan4
㡐	zin1
㳱	joeng4
淑	suk6
㕬	zung1
𡆇	wok1
䃟	saan3
䵥	wat1
䣊	dong2
圞	lyun4
冏	gwing2
䮑	leoi6
劇	kek6
煛	gwing2
㘤	waan1
吳	ng4
抈	jyut6
䶉	lau4
㰶	jau2
簠	fu2
亥	hoi6
挌	gaak3
刎	man5
䳯	cung4
潭	taam4
𢓭	seon1
𧏿	zuk6
漐	zap6
䧊	huk1
㫊	ji2
㶳	zeon6
𢡟	mau6
欄	laan4
䉣	se3
䃢	jam1
䆩	ming4
崙	leon4
抗	kong3
蠣	lai6
鋮	sing4
恇	hong1
聖	sing3
癜	din6
潯	cam4
㤼	gip3
𣳼	doe4
捭	baai2
庱	cing2
爼	zo2
凘	si1
裲	loeng5
濗	mik6
䭨	seoi3
掩	jim2
姬	gei1
桰	kut3
誎	cuk1
榺	sing3
㢃	long4
拱	gung2
砦	zaai6
烏	wu1
塠	deoi1
唇	seon4
絽	leoi5
陊	do6
阥	jam1
健	gin6
媸	ci1
㠳	jap6
鍋	wo1
貼	tip3
𧬹	lai5
䤼	sin3
䌎	loek6
䨐	hap6
𨺲	jyu5
煺	teoi3
𣸬	ciu1
偐	ngaan6
妕	zung3
㴗	jau1
稈	gon2
㮖	git3
辢	laat6
葆	bou2
崦	jim1
鷲	zau6
䀐	saam1
枌	fan4
䎨	jip3
箼	uk1
瀨	laai6
䪐	bei3
溞	sou1
丮	gik1
冪	mik6
薙	tai3
椧	ming6
裌	gaap3
𣻼	hou4
稦	ji1
褡	daap3
聀	zik1
㫎	fai1
䴨	jyun4
鯿	bin1
矽	zik6
謭	zin2
㐿	sau2
躰	tai2
恙	joeng6
氱	joeng4
㿳	zi1
嬹	hing1
𥂝	am1
㢹	san1
詂	fu6
𡃓	bo3
𡲢	ke1
亞	aa3
湡	jyu4
涆	hon6
春	ceon1
𠬞	gung2
弅	fan5
琫	bung2
鵢	san1
凲	gaam1
鯚	gwai3
僐	sin6
鞎	han4
寭	wai6
鎊	bong6
䊖	naam5
疣	jau4
懩	joeng5
潧	zeon1
楶	zit3
㪁	kam4
㧃	sau1
㩗	kwai4
玁	him2
謨	mou4
眭	seoi1
㔙	paang1
磠	lou5
㭔	lou4
逧	guk1
䈄	ham4
䡟	pai3
䜷	cam1
韀	zin1
焍	dai6
嚬	pan4
瓊	king4
屇	tin4
椡	dou3
䣃	se3
㱢	long4
痵	gwai3
糥	no6
澟	lam5
虤	ngaan4
𢤦	dung2
岀	ceot1
胥	seoi1
𩓥	ngok6
埋	maai4
拲	gung2
裵	pui4
鯝	gu3
䶩	zai6
妨	fong4
蠄	kam4
䵈	huk1
獟	hiu1
㥥	jyu4
䨀	dek6
𤥣	hak1
宏	wang4
邡	fong1
袒	taan2
回	wui4
𪈳	lei4
躾	mei5
骺	hau4
𣔰	zi1
枽	jip6
㳆	tau2
𡭊	deoi3
幂	mik6
熋	noi4
墚	loeng4
暎	jing2
𦬨	cek3
䤂	mui4
㙢	mun4
郂	goi1
檤	dou6
諌	dung2
美	mei5
碓	deoi3
篆	syun6
紆	jyu1
㖦	dung2
䏚	cau2
鐆	seoi6
鴙	zi6
䓗	cung1
㩊	syun1
䞨	kwai2
䁦	ceoi3
㿨	lik6
嫭	wu6
痄	zaa3
䟺	bui3
畠	tin4
炏	kaai3
笋	seon2
𩓙	wing6
辬	baan1
䧙	ling4
虵	se4
㨧	ban6
𦱿	diu6
恊	hip6
㞝	cik1
惑	waak6
㬈	wan1
瘭	biu1
顊	ji4
䵷	waa1
䓈	jik6
鱑	wong4
刯	gang1
岳	ngok6
閄	wik6
塻	mok6
勛	fan1
㲛	zi2
做	zou6
䐓	jau4
綍	fat1
䐾	dok6
狡	gaau2
蹘	laau4
㤰	zok3
抷	pei1
㝴	jyun4
䂈	tung4
賲	bou2
媆	jyun5
糍	ci4
癑	nung6
厏	zaa3
徏	zik1
䖺	tiu4
覙	can2
禋	jan1
䆏	fai6
㕛	jau5
㶖	suk1
𣆤	fong2
吨	deon1
㼇	king4
朕	zam6
鬦	dau3
烉	wun6
携	kwai4
侔	mau4
䋆	wu6
䀦	gu2
崹	tai4
䟦	bat6
鍵	gin6
嗇	sik1
鉅	geoi6
䡿	ling4
鼈	bit3
煷	fo2
鱈	syut3
蝯	jyun4
沜	pun3
㮀	haam4
祡	caai4
鍅	faat3
躮	fan1
恩	jan1
瞍	sau2
䥀	cin2
煾	jan1
夑	sit3
䬰	siu6
䢜	gwai1
問	man6
炲	toi4
敿	giu2
秹	jam5
胆	daam2
𢦓	ngo5
㒲	coi4
棊	kei4
䣧	jik6
瑚	wu4
刖	jyut6
嶴	ou3
書	syu1
鵒	juk6
𤾂	jyun2
㞵	tou1
抋	cam3
細	sai3
酒	zau2
㔁	dang1
旞	seoi6
秎	fan6
㹏	gan2
叕	zyut3
𠍿	gun3
鐟	zaam1
俘	fu1
刔	kyut3
偔	ngok6
鯶	waan5
㩚	mung4
巿	fat1
湪	teon3
䮫	lau4
祖	zou2
餀	ngaai6
屶	wui6
㓭	hot3
䨂	cau1
筆	bat1
嘹	liu4
簤	daai6
孔	hung2
濹	mak6
篐	ku1
炠	saap6
䪗	haa4
㤙	jan1
伄	diu3
畡	goi1
㔶	gung3
鈯	dat6
䛲	maan4
浨	lam5
皒	ngo4
痓	ci3
枡	sing1
蚜	ngaa4
䃹	laan6
𤦤	ji4
䃍	zeoi6
逺	jyun5
髷	kuk1
靬	gin1
髣	fong2
檦	biu2
㜾	haai4
皙	sik1
㦞	cau4
饔	jung1
霵	zap1
姴	lit6
䉶	soeng1
䉆	niu5
梂	kau4
蔄	maan6
𢿣	hiu1
罜	zyu3
䳣	jyun1
㹊	ngok6
衉	haak3
孤	gu1
囲	tung1
程	cing4
芭	baa1
䭂	jap1
㥵	wan6
㗥	kwok3
齏	zai1
皻	zaa1
䓷	hang6
鄈	kwai4
䈖	fo1
槐	waai4
弆	geoi2
𡥘	hou2
𣊁	ngou4
縏	pun4
䢨	cung1
溯	sou3
䊓	si6
㸓	mat6
緊	gan2
䝤	lou5
袮	ji5
稆	leoi5
睴	gwan3
䍔	gwang1
硽	jim1
軍	gwan1
䪣	zai1
烓	gwing2
鸗	lung4
𤩺	ji6
䲑	ji4
𣚦	goeng6
封	fung1
糡	goeng6
𦼦	sing6
㿄	aai3
晫	zoek3
資	zi1
龗	ling4
僴	haan5
魈	siu1
𥿡	nei4
㜓	daap3
皡	hou6
𡤻	lyun4
嶛	liu4
念	nim6
嫌	jim4
㛧	man5
燩	kok3
𧭈	ning4
𤩥	seon3
仜	hung4
搑	jung4
廒	ngou4
㿻	gon1
䳿	jin4
撛	leon5
暢	coeng3
𧗾	hang4
攪	gaau2
㓾	sai1
檧	sung1
㪧	jap1
䯇	fat1
膋	liu4
僕	buk6
赲	lik6
葖	dat6
臱	min4
䅙	muk6
䪊	lung4
敟	din2
鎢	wu1
芑	hei2
顅	haan1
䊃	bui6
㻎	sat1
傈	leot6
潛	cim4
䠥	bit6
用	jung6
睸	mei1
𠓾	cyun4
驍	hiu1
憜	do6
舮	lou4
㨹	wai6
𠚹	saam1
牀	cong4
㔒	kwai4
沞	zaap3
僒	kwan3
㻪	zeon3
鹻	gaan2
錄	luk6
絇	keoi4
澂	cing4
岲	fong3
攻	gung1
腨	syun6
之	zi1
橸	zing1
䏰	jeon6
㺝	haam5
瘁	seoi6
㜐	syu6
㤨	gung2
𠊷	zi6
䛄	jyun3
仝	tung4
莟	ham6
弋	jik6
䘸	jik6
猍	loi4
𤆤	jung2
鋫	lei4
籮	lo4
歖	hei2
㒍	leoi4
䈍	mang4
轝	jyu4
芣	fau4
篊	hung4
㠽	tung4
䋡	syu1
縌	jik6
㼙	zau3
穋	luk6
閂	saan1
暗	am3
褬	song2
䙕	zung2
㹛	jiu4
兝	fan1
㲚	saa1
䣫	ci1
牂	zong1
泇	gaa1
籝	jing4
䳱	mou6
鶯	ang1
𡊩	juk6
至	zi3
倁	zi1
㲧	sou3
餥	fei1
跬	kwai2
牱	o1
嬡	oi3
堮	ngok6
俿	fu2
犥	piu1
𣖜	wai6
坤	kwan1
䒫	doi6
㫚	fat1
辳	nung4
䥄	cou3
桱	ging3
䏢	bei2
𤦌	ji4
袨	jyun6
穁	jung4
遃	jin5
遫	cik1
鮯	gap3
巔	din1
訲	jik1
㡓	gwan1
𠰍	zyu2
㣿	zoek3
椘	co2
鼒	zi1
𤊕	coi2
薛	sit3
䨩	ling4
栨	ci3
絤	sin3
樽	zeon1
𥼚	zoek3
𦄡	maan6
禽	kam4
䵋	wai5
鶰	jyun4
㾕	sam2
䧽	ceoi2
䪆	tai2
爠	keoi4
銝	jau1
輚	zaan6
䛱	tai4
舦	taai5
𣿮	kwai4
㯒	mik6
嶕	ciu4
竾	ci4
泐	lak6
䎽	man4
䬨	gau3
霒	jam1
䌳	si1
訙	seon3
㕧	si1
㵠	fat1
睖	ling6
儢	leoi5
芻	co1
婈	ling4
㑧	gwai3
鯨	king4
樢	niu5
䂡	dai2
㑟	bang2
鷊	jik6
𥂁	jim4
叿	hung1
廅	hap6
鱜	hoeng1
贒	jin4
䭥	joeng6
䣁	jyu5
麲	haan6
㗵	fat1
指	zi2
㼊	tyun4
嵐	laam4
搘	zi1
䓸	gaan1
胹	ji4
悞	ng6
㪨	sin6
旖	ji2
𢛴	mang2
薥	suk6
舊	gau6
飬	gyun3
䁧	miu4
䴍	ang1
飡	caan1
𢲈	kik1
𧗽	hang4
𤐶	hou4
䝸	gei6
國	gwok3
鑸	leoi5
䕔	haam4
嵀	cyu5
鸅	zaak6
潱	jan1
䴼	caan3
痤	co4
嚴	jim4
桘	ceoi4
㷪	zeon3
鐾	bai3
緵	zung1
䪅	duk6
紻	joeng2
㪍	but6
楡	jyu4
賤	zin6
鎰	jat6
榸	zaai1
訆	giu3
雉	zi6
乆	gau2
桬	saa1
剰	sing6
㹻	wo1
碽	gung1
𤗈	sip3
㢣	king4
嗭	zik6
䠲	ling4
㟰	ming5
巪	geoi6
䜃	deoi1
疝	saan3
筭	syun3
蹗	luk6
䐨	guk1
龝	cau1
㧓	gwaa1
𠵆	daam3
鴻	hung4
逳	juk1
㐗	lou5
妷	zat6
憄	zi3
㿧	cau4
靠	kaau3
跊	mui6
垁	zi6
䫓	ng4
㡟	zou1
𩃀	jin6
媜	zing1
㪱	wun6
瀶	lam4
岐	kei4
䆒	gau3
𪃳	jing1
玔	cyun3
䎘	suk1
酣	ham4
尦	liu6
螷	pei4
瘏	tou4
䘇	man1
𨧹	ming4
䩬	bung2
燌	fan4
䣭	jau5
琢	doek3
譴	hin2
㞹	ho2
醮	ziu3
㛶	taan3
壳	hok3
歄	gwaa1
羪	loeng4
㬇	wun6
䆠	waan6
講	gong2
暏	syu6
磁	ci4
偶	ngau5
顔	ngaan4
䋋	man4
発	faat3
䉙	wan4
䞜	fu3
篳	bat1
閙	naau6
姺	sin2
𣶚	jin3
銸	zip3
䩐	fat1
粡	tung4
嗿	taam2
䜅	wai4
懲	cing4
艶	jim6
䳶	kai1
爜	cung4
韅	hin2
畨	faan1
㕫	fung1
㔤	san3
茖	gaak3
䇡	cyu5
䒍	pong2
綝	sam1
鼼	jiu6
僵	goeng1
飝	fei1
犏	pin1
碀	cang4
㢉	caa4
另	ling6
枠	zyut6
䡃	leot6
㤶	mong4
䒘	seoi1
唐	tong4
貛	fun1
飅	lau4
慢	maan6
乻	jyu1
兔	tou3
灷	zyun6
亅	kyut3
綖	jin4
蛔	wui4
䁅	maang5
鐬	wai3
䒳	do2
䋹	fuk1
䠆	coeng4
鷏	tin4
餚	ngaau4
墾	han2
㸚	lei5
䀈	kei3
籂	sik1
渂	man6
䊊	mei6
邾	zyu1
𦚖	zaap3
儡	leoi5
峔	mou5
𥮉	pou4
䊚	deoi1
鴏	dak6
厺	heoi3
噵	dou6
鵕	zeon3
䶧	ngaau5
䣇	kau4
磭	coek3
㺼	pat1
靭	jan6
㒝	mit6
轛	deoi3
韙	wai5
幜	ging2
玧	mun4
犅	gong1
搩	git6
搮	leot6
㾁	fat1
薤	haai6
鰢	maa5
瓡	zap1
秜	nei4
䶳	joek6
眻	joeng4
鈻	zi6
泵	bam1
䇸	cing4
减	gaam2
忖	cyun2
永	wing5
䚆	jing2
戎	jung4
蚞	muk6
鏬	laa3
鸐	dik6
魣	jyu4
煥	wun6
的	dik1
䨜	bang1
覤	gwik1
𤪦	ji4
鯒	jung2
髂	kaa3
䟋	zim2
㜍	tong4
妵	tau2
靤	paau3
𠱓	ngai1
斌	ban1
岢	ho2
笇	syun3
郍	naa5
䝞	fu2
耣	leon5
庙	miu6
妜	jyut3
𤿂	saai4
秊	nin4
痛	tung3
昢	pui3
𦭒	zing3
帮	bong1
牋	zin1
㘱	taan1
䓰	jan1
氯	luk6
爑	zoek3
訄	kau4
隮	zai1
𡁸	kwaak1
鰌	cau1
隥	dang3
郱	ping4
矘	tong2
鼫	sek6
夸	kwaa1
霹	pik1
娓	mei5
覾	sam2
鵞	ngo4
輵	got3
犣	lip6
㧾	fat1
蘓	sou1
悇	tou4
娨	haan6
𨺳	jung5
枷	gaa1
冦	kau3
䣸	jim5
艓	dip6
㽢	am2
曜	jiu6
㨵	zin2
㪈	gwai3
畮	mau5
鱢	sou1
䝏	lau4
侭	zeon2
匁	jan6
崐	gwan1
㠾	jyun1
㧖	ak1
亓	kei4
𢲵	cou5
歿	mut6
㓩	hyun1
嫙	syun4
吰	wang4
𤒈	jin3
渣	zaa1
蓈	long4
輳	cau3
㨪	fong2
蓭	am1
䗢	zou2
㿩	tong2
艭	soeng1
騬	sing4
䞣	ce2
鎌	lim4
䉋	mei6
䏣	zeoi1
晿	coeng1
鯑	hei1
䑐	can2
鞾	hoe1
䮨	zoi2
騿	zoeng1
䓬	coek3
䍈	ping4
岒	kim4
氮	daam6
鷡	mou4
㵞	sau4
奃	dai1
誈	mou4
㥆	teoi3
𡸜	zik6
摰	jit6
瑜	jyu4
掽	pung3
埑	zit3
粃	bei2
𠝹	gaai3
鋭	jeoi6
䶓	zai3
鈠	jik6
霪	jam4
畹	jyun2
疳	gam1
獨	duk6
軂	lou6
郌	gwai1
祣	leoi5
沁	sam3
歔	heoi1
㫩	ceon1
弞	can2
𠺢	gaa1
䶲	jim4
㽶	gei2
麱	fu1
毢	soi1
飀	lau4
澢	dong1
礤	caat3
㤊	haau6
𤦈	fan1
媞	tai4
圴	zoek3
𡄎	gam2
㠣	lik6
䉎	tong4
䕶	wu6
㡞	lau4
𥕥	keoi1
鷪	ang1
駲	zau1
䙲	cin1
儠	lip6
佒	joeng5
䂣	ci1
漃	zik6
㩩	king2
眑	jiu2
㮇	tim3
蟮	sin6
珯	lou5
変	bin3
䢰	tik1
硥	pong5
覴	dang1
䔆	lei4
蚧	gaai3
情	cing4
珸	ng4
跍	fu1
膝	sat1
癷	gon1
嶜	zam1
出	ceot1
椀	wun2
嵸	zung1
𤔲	si1
㗙	co1
薠	faan4
㔂	leon4
刈	ngaai6
穟	seoi6
卆	zeot1
藳	gou2
㩎	jip3
劎	gim3
騠	tai4
㽭	jyun4
䰷	pong5
音	jam1
罛	gu1
䪖	pok3
氵	seoi2
譤	gik1
蜐	gip3
荊	ging1
𣘼	kai2
𡿧	zoi1
褀	gei6
熀	fong2
悲	bei1
才	coi4
㗻	go6
糞	fan3
䲰	wan6
朙	ming4
㸭	baa1
晎	hung2
喙	fui3
㗕	gau3
滒	go1
渺	miu5
壂	din6
傪	caam1
筏	fat6
薻	zou2
蘨	jiu4
愺	cou2
疞	heoi1
㺗	caan1
𥿝	doi6
㛛	san1
㦢	zit3
䑽	taap3
𨉉	pei4
鼽	kau4
鴝	keoi4
騳	duk6
䯤	kui2
薞	syun1
䖴	jiu4
㡘	lim4
檱	kei4
㻡	sit3
韡	wai5
匞	zoeng6
鵂	jau1
浛	ham4
㘀	zok3
㺃	gau2
馳	ci4
岶	paak3
嶵	zeoi2
獈	jik6
薷	jyu4
珱	jing1
玶	ping4
磈	faai3
哶	me1
啓	kai2
櫓	lou5
㟻	cim3
睌	maan5
甋	dik1
辣	laat6
愑	jung5
傂	zi6
謝	ze6
㩶	nip6
䶄	ping4
幍	tou1
㩔	tyun4
𡟵	go1
蠴	syu4
䶤	hat6
蘕	pung4
䗼	fan1
櫆	fui1
㜵	niu5
㗨	haai1
䃊	zeoi2
㫽	luk6
㫐	jiu2
𤠑	lau4
㙁	mui4
㡨	zim1
瘺	lau6
䲽	sek6
堊	ok3
䆘	aap3
頴	wing6
㭳	haau3
礠	ci4
焈	hei1
鉛	jyun4
㤆	faan3
脋	hip3
咣	gwong1
䃫	daam2
睿	jeoi6
𤍢	jim6
詣	ngai6
蹄	tai4
寋	gin6
䤳	ze6
塹	cim3
㷲	dung6
𨩊	jau4
禌	zi1
腙	zung1
翾	hyun1
齢	ling4
竴	ceon1
㳒	faat3
卶	ci2
柀	bei2
䵰	soeng1
洜	lok3
䃾	bei2
碿	seot1
溹	sok3
帄	ding1
羺	nau6
㖬	sau1
氈	zin1
㰷	zi3
羔	gou1
𥡝	gim1
盂	jyu4
櫜	gou1
枔	cam4
匲	lim4
鼔	gu2
伃	jyu4
饈	sau1
荇	hang6
䦳	hoeng3
僉	cim1
𦍑	goeng1
塟	zong3
㬏	lik6
𣾂	gaai1
㿯	daap3
穏	wan2
㫘	mat6
悹	gun2
庨	haau1
笶	ci2
𤂍	lin4
瓆	zat1
鍜	haa4
㐙	dau6
詠	wing6
蟒	mong5
樌	gun3
畢	bat1
㼿	tung4
㹉	jyun4
貧	pan4
鄊	hoeng1
蜻	cing1
鼿	ngat6
臟	zong6
𩂯	jau1
𣧂	laai5
漟	tong4
煶	zik6
唺	tin2
殌	kyut3
峀	bong1
痚	haau1
䗷	ji3
侷	guk6
𦐐	man4
疰	zyu3
胏	zi2
㣽	syu3
乱	lyun6
烼	fat1
瘮	sam3
霈	pui3
驑	lau4
扌	sau2
淴	fat1
挽	waan5
㑏	cyu5
檃	jan2
𩱳	zaai1
墉	jung4
㴬	ze6
擊	gik1
盍	hap6
髢	tai3
娐	fu1
㔻	pei1
繏	syun3
眸	mau4
䦨	laan4
䵟	gon2
䏽	bau6
苘	gwing2
㡏	syu1
鏱	gam2
祐	jau6
瞏	king4
䔾	hei3
䳪	tyun4
晈	gaau2
鋇	bui3
𥮴	dung1
𩤃	aa3
驩	fun1
𠍁	man3
櫕	cyun4
歲	seoi3
祠	ci4
償	soeng4
儻	tong2
欐	lai6
皈	gwai1
䶆	zeoi1
艫	lou4
烵	zoek3
層	cang4
濠	hou4
圄	jyu5
酻	zeoi1
耨	nau6
耈	gau2
㙛	bou2
遬	cuk1
痩	sau3
棖	caang4
螳	tong4
䅸	san1
䳴	taap3
䞯	fu3
㹸	maau6
鎶	go1
匒	daap3
珤	bou2
𦉘	caang1
萍	ping4
㓰	waak6
金	gam1
䵉	tau4
霝	ling4
䙼	siu6
蕗	lou6
埛	gwing1
㮋	jau5
爩	wat1
誅	zyu1
䐯	leoi4
鏳	caang4
𧬋	faat3
順	seon6
袶	gong3
溡	si4
黗	tan1
綟	lit6
㝑	pong4
涔	sam4
䄾	juk6
𣐿	ji1
矹	ngat6
𪃭	haak3
杼	cyu5
㷬	mok6
憋	bit3
鞓	ting1
䀉	kiu4
瑟	sat1
䫝	fuk1
務	mou6
牙	ngaa4
㤈	cam3
㑽	tong4
𠸖	ling4
㕵	gwok3
眀	ming4
从	cung4
鬭	dau3
鏹	koeng5
剄	ging2
媋	ceon1
煗	nyun5
透	tau3
侱	cing2
忞	man4
垂	seoi4
煽	sin3
觡	gaak3
䏒	pin3
㫆	ji5
𤫊	ling4
䕒	gaa1
艧	wok6
刑	jing4
䔫	so1
㦇	luk6
鴽	jyu4
䞃	zi3
㞾	nei4
輼	wan1
椺	hat6
郒	long4
贜	zong1
䙦	mung4
隴	lung5
㬣	deoi6
蹀	dip6
㴘	mou6
蟚	paang4
䐃	kwan5
舉	geoi2
愂	bui6
䭴	waan4
㺅	hau4
譹	hou4
髟	biu1
稩	gei3
睗	sik1
𩮜	tik1
㽳	heoi1
脞	co2
嫆	jung4
㗜	cau3
籤	cim1
𦺈	syun1
叏	gwaai3
㞌	jan6
鎮	zan3
䟑	joek6
琵	pei4
府	fu2
䐎	dai1
䓿	ham6
㓲	pin1
蘟	jan2
攅	cyun4
䭸	fu6
循	ceon4
虥	zaan6
㲐	gam1
䥏	jyu5
㛢	sau3
䕵	kit3
鐖	gei1
跠	ji4
裬	ling4
𡝗	kwan3
幖	biu1
蝴	wu4
騵	jyun4
𨸏	fau6
埴	zik6
樈	king4
㛍	hip3
㷫	hing3
䡭	sau1
暮	mou6
黸	lou1
𣶼	fan1
𨨶	jyu5
策	caak3
氲	wan1
熟	suk6
澑	lau6
軦	fong3
㵳	liu4
蒁	wat6
𡟸	ong2
皽	zin2
譐	zyun2
㗬	zaa1
憥	lou4
㧨	kau4
㑡	zik1
彳	cik1
閥	fat6
㮰	pei4
痦	ng6
琼	king4
囎	zang6
溿	pun3
卹	seot1
㱻	lo6
𡩋	ning4
𣭲	jung2
䞙	zaap3
䘎	waan1
旟	jyu4
䲧	dou6
㢧	gyun2
嵫	zi1
鶥	mei4
衞	wai6
𠗟	mui5
箓	luk6
蔽	bai3
鐘	zung1
煲	bou1
㩐	dan3
㨔	ham6
䂶	gip3
䃖	wu2
岪	fat6
㴅	siu1
秈	sin1
錵	faa1
䳧	hau1
蠠	man5
䑩	gu2
䐋	cung1
䘷	bit3
䳼	au1
牔	bok3
遼	liu4
瑭	tong4
䨔	bok6
䑁	uk1
倲	dung1
㣔	ding1
鰁	cyun4
䩣	tou4
錽	faan6
㥬	pong4
㳄	jin4
㦃	caan2
㤧	hau4
鏋	mun5
鱵	zam1
㪯	geoi2
鐨	fai3
昍	hyun1
䓎	cuk1
稊	tai4
䆎	cim1
叛	bun6
趶	fu3
𤒹	jip6
㛑	caan3
晩	maan5
炭	taan3
鞈	gaap3
淾	jam2
𡚁	bai6
䩡	gaap3
𢥠	sung2
䲾	haau2
㸹	lyut6
拰	nam5
䊍	lei4
莰	ham2
錻	mou5
翇	fat1
㢤	zoi1
擮	zit6
碚	pui5
愐	min5
㮜	zong1
䡉	hong2
䊲	caan3
莛	ting4
㫭	si4
䗰	gun3
蜱	pei4
葳	wai1
䉩	au1
滐	git6
孹	maak3
䗲	leon6
䝇	fui1
嵠	kai1
䖤	jyun1
簶	luk6
詩	si1
䅠	tai4
昘	fong2
䃐	dat6
粛	suk1
䆭	hin1
韔	coeng3
払	faan2
㓐	luk6
㙡	zung1
𥗕	jin3
纅	joek6
䜹	cuk1
㗴	ngaan4
魝	git3
冣	zeoi3
㼆	jing4
嶏	pui3
鴒	ling4
䳩	jiu1
苺	mui4
鄤	maan6
忽	fat1
娥	ngo4
湟	wong4
蛦	ji4
𩇕	zing6
䲖	cau4
菒	gou2
㵁	fong1
挿	caap3
䏕	jam6
蚢	hong4
竿	gon1
𦹷	pui4
裷	gwan2
冭	taai3
斍	gok3
㓏	gwing2
𡻈	ceon4
䜉	cat1
毞	pei4
幎	mik6
叜	sau2
揪	zau1
𤃡	wing6
涖	lei6
㾃	to4
䃉	man4
隣	leon4
形	jing4
艝	syut3
𡡒	si1
蟍	lei4
𦷜	haa6
如	jyu4
懌	jik6
㥕	lin4
鶐	seot6
旋	syun4
䑺	faan4
愯	sung2
扄	soeng2
邊	bin1
甠	cing4
𨯧	jin3
祺	kei4
譮	waa6
嶣	ciu4
灧	jim6
臭	cau3
䔰	fu3
䥅	kam4
萅	ceon1
哷	lyut3
𧧺	pei1
樋	tung1
鄀	joek6
譛	zam3
笊	zaau3
𢖾	faan4
酘	tau4
髝	lou4
椨	fu2
鱱	lai6
㳼	bat1
籷	zaak3
緛	jyun5
踙	nip6
㹭	jai6
幏	gaa3
兀	ngat6
侫	ning6
籇	hou4
譱	sin6
㹣	zung1
夋	ceon1
閗	dau3
禒	sin2
豹	paau3
娌	lei5
婹	jiu2
膣	zat6
䀠	keoi4
𤏁	hei1
䤒	gei6
窯	jiu4
蓯	cung1
䁔	hyun1
藑	king4
㵮	seon4
頽	teoi4
妰	zoek3
稉	gang1
䋕	jam6
橊	lau4
帗	fat1
㲯	laam4
鈩	lou4
魯	lou5
儔	cau4
疩	seoi6
鶖	cau1
咷	tou4
艻	lak6
𤦊	daap6
䁌	wat6
判	pun3
悊	zit3
琚	geoi1
䕠	fai3
𢺋	naan3
憎	zang1
